Team,Season,PA,AB,H,2B,3B,HR,BB,SO,BA,OBP,SLG,WOBA,WOBACON,Batted Balls,Barrels,Barrel %,Hard Hit %,Exit Velocity,Launch Angle,XBA,XSLG,XWOBA,XWOBACON,Zone %,Zone Swing %,Zone Contact %,Chase %,Chase Contact %,Edge %,1st Pitch Swing %,Swing %,Whiff %,Meatball %,Meatball Swing %,BBE,GB %,FB %,LD %,PU %,Pull %,Straight %,Oppo %,Weak %,Topped %,Under %,Flare/Burner %,Solid %,Division Rank,Run Differential
Arizona Diamondbacks,2015,6275,5649,1494,289,48,154,490,1312,0.264,0.324,0.414,0.319,0.373,4440,238,5.4,32.6,88.5,10,0.249,0.391,0.31,0.363,48.8,63.9,84.1,29.9,58.5,42.1,29.6,46.4,23.1,7.6,72.6,4440,49.4,16.1,29.1,5.3,35.3,38.6,26.1,2.7,36.5,20.7,24.9,5.3,3,7
Atlanta Braves,2015,6034,5420,1361,251,18,100,471,1107,0.251,0.314,0.359,0.296,0.328,4411,152,3.4,29.4,87,8.4,0.247,0.362,0.3,0.334,48.1,64.9,84.7,29.5,64.8,42.3,28.5,46.5,20.6,7.2,74.2,4411,51.4,17.5,25.8,5.3,33.2,39.3,26.7,3.7,39.1,20.4,25.5,3.7,4,-187
Baltimore Orioles,2015,6006,5485,1370,246,20,217,418,1331,0.25,0.307,0.421,0.315,0.375,4206,267,6.3,35.2,88.8,12.3,0.241,0.409,0.311,0.371,47.6,68,81.8,32.3,59.9,42.6,33.1,49.3,25.1,7.3,76.9,4206,44.8,21.2,26.4,7.6,39.3,36.6,23.7,2.9,33.5,24.3,24.4,6.2,3,20
Boston Red Sox,2015,6236,5640,1495,294,33,161,478,1148,0.265,0.325,0.415,0.321,0.362,4564,220,4.8,33.4,88.5,10.5,0.247,0.385,0.308,0.345,49.7,62.6,85.6,29.2,66.3,43.4,23.2,45.8,20.3,7.4,70.5,4564,48.1,20.9,23.9,7.1,34.9,39.1,25.5,2.8,37.3,23.8,23.9,4.9,5,-5
Chicago Cubs,2015,6200,5491,1341,272,30,171,567,1518,0.244,0.321,0.398,0.313,0.376,4040,255,6.3,33.4,88.1,12.8,0.231,0.385,0.307,0.368,47.4,68,79.7,28.1,55.1,42.9,31.5,47,27.1,6.8,78.6,4040,44.6,22.3,26.4,6.7,38,37.1,24.4,3.4,33.8,24.6,23.8,5.8,3,81
Chicago White Sox,2015,6069,5533,1381,260,27,136,404,1231,0.25,0.306,0.38,0.3,0.344,4369,167,3.8,31.6,87.8,8.9,0.243,0.358,0.295,0.339,48.5,65.4,84.2,31,62.5,42.5,26.7,47.7,22.3,7,73.6,4369,50.3,17.2,25.8,6.7,34,39.5,26,3.3,39,20.7,25.6,3.9,4,-79
Cincinnati Reds,2015,6196,5571,1382,257,27,167,496,1255,0.248,0.312,0.394,0.307,0.351,4403,202,4.6,27.6,86.9,11.7,0.239,0.373,0.3,0.344,47.7,68.8,82.8,29.5,60.9,43.2,32.9,48.2,22.7,7.1,77,4403,45.4,19.6,29,6.1,34.8,37.1,27.8,3.4,33.8,24.7,23.9,4.3,5,-114
Cleveland Guardians,2015,6108,5439,1395,303,29,141,533,1157,0.256,0.325,0.401,0.315,0.353,4379,200,4.6,34.7,88.3,11.2,0.253,0.393,0.317,0.357,48.8,64.8,85.5,26.8,64.3,42.6,25.3,45.3,20,7.5,73.9,4379,46.7,20.1,26.4,6.9,37.3,37.9,24.6,3.1,34.8,23.6,25.5,5.3,3,29
Colorado Rockies,2015,6071,5572,1479,274,49,186,388,1283,0.265,0.315,0.432,0.321,0.384,4367,225,5.2,33.2,88.4,10.9,0.239,0.378,0.295,0.351,48.9,68.6,82,31.7,60.6,43.2,30.4,49.7,23.7,7.1,74.8,4367,46.1,17.4,29.3,7.2,34.9,38.3,26.7,3,35.1,22.6,23.2,5.3,5,-107
Detroit Tigers,2015,6159,5605,1515,289,49,151,455,1259,0.27,0.328,0.42,0.324,0.378,4404,266,6,34.7,88.4,12.4,0.26,0.419,0.324,0.379,48.9,67.8,83.2,30.8,61.3,42.9,31.4,48.9,23,7.3,76.4,4404,44.3,23,26.6,6.1,36.6,36.4,27,3.4,32.6,23.5,26.5,5.3,5,-114
